"id";"iddetalles";"accesorio";"cantidad";"ubicacion";"fecha_reg";"estado";"imagen"
"1";"691";"CABLE DE PODER";"1";"86H";"2024-07-04 11:06:17";"1";"0"
"2";"691";"BUS DE DATOS";"1";"86H";"2024-07-04 11:08:18";"1";"0"
"3";"691";"TORNILLO INTERIOR";"4";"87L";"2024-07-04 11:08:43";"1";"0"
"4";"1976";"TAPA PLASTICA CON HUECO";"2";"017A09";"2024-07-04 11:12:46";"1";"0"
"5";"1976";"CLIP ALUMINIO";"2";"017A09";"2024-07-04 11:13:10";"1";"0"
"6";"1992";"TAPA PLASTICA CON HUECO";"2";"017A09";"2024-07-04 11:13:43";"1";"0"
"7";"1992";"CLIP ALUMINIO";"2";"017A09";"2024-07-04 11:13:55";"1";"0"
"8";"2046";"TAPA PLASTICA";"2";"017A09";"2024-07-04 11:14:22";"1";"0"
"9";"2046";"CLIP ALUMINIO";"2";"017A09";"2024-07-04 11:14:36";"1";"0"
"10";"2047";"CLIP ALUMINIO";"2";"017A09";"2024-07-04 11:15:00";"1";"0"
"11";"2047";"CLIP ALUMINIO";"2";"81J";"2024-07-04 11:15:12";"0";"0"
"12";"23956";"TAPA PLASTICA CON HUECO";"2";"017A09";"2024-07-04 11:18:31";"1";"0"
"13";"23956";"CLIP ALUMINIO";"2";"017A09";"2024-07-04 11:18:47";"1";"0"
"14";"28618";"TAPA PLASTICA CON HUECO";"2";"81J";"2024-07-04 11:22:28";"1";"0"
"15";"28618";"CLIP ALUMINIO";"2";"81J";"2024-07-04 11:24:23";"1";"0"
"16";"1978";"TAPA PLASTICA CON HUECO";"1";"017A14";"2024-07-04 11:25:05";"1";"0"
"17";"1978";"CLIP ALUMINIO";"2";"017A14";"2024-07-04 11:25:18";"1";"0"
"18";"2057";"TAPA PLASTICA CON HUECO";"2";"017A14";"2024-07-04 11:28:05";"1";"0"
"19";"2057";"CLIP ALUMINIO";"2";"017A14";"2024-07-04 11:28:22";"1";"0"
"20";"23959";"TAPA PLASTICA CON HUECO";"2";"017A14";"2024-07-04 11:29:01";"1";"0"
"21";"23959";"CLIP ALUMINIO";"2";"017A14";"2024-07-04 11:29:15";"1";"0"
"22";"28617";"DIFUSOR HUMO TIRA 1MTR";"1";"910A";"2024-07-04 11:29:48";"1";"0"
"23";"28617";"CLIP ALUMINIO";"2";"81O";"2024-07-04 11:29:59";"1";"0"
"24";"1974";"TAPA PLASTICA CIEGA";"1";"017A12";"2024-07-04 11:30:32";"1";"0"
"25";"1974";"CLIP ALUMINIO";"2";"017A12";"2024-07-04 11:30:45";"1";"0"
"26";"9682";"TAPA PLASTICA CON HUECO";"1";"017A12";"2024-07-04 11:31:08";"1";"0"
"27";"9682";"CLIP ALUMINIO";"2";"017A12";"2024-07-04 11:31:25";"1";"0"
"28";"24262";"TAPA PLASTICA CIEGA";"1";"017A12";"2024-07-04 11:31:50";"1";"0"
"29";"24262";"CLIP ALUMINIO";"2";"017A12";"2024-07-04 11:32:04";"1";"0"
"30";"24263";"CLIP ALUMINIO";"2";"017A12";"2024-07-04 11:32:32";"1";"0"
"31";"24263";"TAPA PLASTICA CON HUECO";"1";"017A12";"2024-07-04 11:32:42";"1";"0"
"32";"23957";"TAPA PLASTICA CON HUECO";"2";"017A09";"2024-07-04 11:34:30";"1";"0"
"33";"23957";"CLIP ALUMINIO";"2";"017A09";"2024-07-04 11:34:42";"1";"0"
