"iditem";"nombre";"saldo";"compromiso";"costo";"precio";"impuesto";"activo";"categoria";"estado";"idempresa";"casa"
"2";"ACETAMINOFEN MEMPHIS *100";"9701";"-11";"6000";"9180";"0";"1";"4";;"2";"18"
"3";"CINTA ANCHA *50 MT*6 UND";"9662";"-7";"12600";"16524";"0";"1";"11";;"2";"11"
"4";"ADVIL GRIPA *20 UND";"9520";"-13";"38000";"46360";"0";"1";"4";;"2";"9"
"5";"ADVIL MAX *20 UND";"9601";"-8";"36000";"43920";"0";"1";"4";;"2";"9"
"6";"CAJA VASO 5.5 ONZ BLAN VBC*40 PQT";"9898";"-3";"82000";"98400";"0";"0";"5";;"2";"2"
"7";"ADVIL ULTRA *20 UND";"710";"-9";"35000";"43920";"0";"1";"4";;"2";"9"
"8";"AGUILA ROJA * 50 GR *10*10";"485";"-496";"21500";"25500";"0";"1";"6";;"2";"1"
"9";"AGUILA ROJA *125 GR*40und";"5270";"-846";"6000";"7100";"0";"1";"6";;"2";"1"
"10";"AGUILA ROJA *250 GR*20und";"6991";"-99";"12000";"14200";"0";"1";"6";;"2";"1"
"11";"AGUILA ROJA *2500 GR";"9642";"-16";"98000";"116000";"0";"1";"6";;"2";"1"
"12";"AGUILA ROJA *500 GR*10und";"7440";"-58";"21500";"25500";"0";"1";"6";"Escaso";"2";"1"
"13";"ALCOHOL*120 ML*48UND";"6482";"-112";"1801";"2193";"0";"1";"4";;"2";"18"
"14";"CAJA VASO 5 ONZ COLOR*60 PQT";"9729";"-11";"90000";"110160";"0";"1";"5";;"2";"2"
"15";"CAJA VASO 7 BLANCO VBC *40PQT";"9886";"-4";"71000";"85200";"0";"0";"5";;"2";"22"
"16";"ALKA-SELTZER * 60 UND";"9297";"-7";"40000";"48960";"0";"1";"4";;"2";"9"
"17";"ALUMINIO 16 METROS";"9103";"-6";"3967";"5610";"0";"1";"5";;"2";"22"
"18";"ALUMINIO 40 METROS";"9668";"-10";"8100";"11220";"0";"1";"5";;"2";"22"
"19";"ALUMINIO 7 MTS";"2495";"-138";"2000";"2856";"0";"1";"5";;"2";"23"
"20";"VASO 14 ONZ TRANSP*50UND";"9964";"0";"4600";"5612";"0";"1";"5";;"2";"22"
"21";"DESENGRASANTE SPRAY*500 ML*24UND";"8733";"-32";"2600";"3264";"0";"1";"1";;"2";"18"
"22";"ASPIRINA EFERVESCENTE *50 UND";"9766";"-2";"40000";"48960";"0";"1";"4";;"2";"9"
"23";"AZUCAR SOBRE *BOLSA";"8760";"-10";"4000";"5100";"0";"1";"5";;"2";"23"
"24";"OFERT LAPIZ OFIES ROJO*12 PG6LLV7";"9947";"-1";"27000";"40596";"0";"0";"11";;"2";"11"
"25";"NUTRIBELA SHAMPOO PROHIAL*12";"9411";"-10";"9800";"12036";"0";"1";"2";;"2";"9"
"26";"AROMATEL COCO BAMBU*180 ML*36und";"7373";"-39";"1200";"1479";"0";"1";"1";;"2";"26"
"27";"OFERTA AROMATEL*400ML*12 SURT";"9822";"-4";"22332";"27540";"0";"0";"1";;"2";"26"
"28";"AJO REY CHAPETA*55G*12";"9931";"0";"11600";"14178";"0";"1";"7";;"2";"100"
"29";"DULCE HALLOWEEN*500UND";"9928";"-1";"21266";"26112";"0";"1";"3";;"2";"7"
"30";"H&amp;S ANTI-RESEQUEDAD*12";"9997";"0";"9500";"12000";"0";"1";"2";;"2";"20"
"31";"TAPABOCAS NIÑOS SURT*50";"9997";"0";"8000";"12240";"0";"1";"2";;"2";"9"
"32";"BOLSA MANIJA *3 KL";"8546";"-11";"3025";"3932";"0";"1";"5";;"2";"23"
"33";"DULCE HALLOWEEN*100";"9969";"0";"5091";"6222";"0";"1";"3";;"2";"7"
